timestamp,Ailing,Diagnosed,Extinct,Healed,Infected,Recognized,Susceptible,Threatened
0,3.983930696449534e-07,1.0311159712728113e-06,1.727546057594953e-11,1.582136377464849e-07,4.6258805923571344e-06,1.730537206867666e-07,0.9999932050704956,5.817323067702773e-09
1,8.230218213611806e-07,1.938670266099507e-06,1.339597044403007e-10,4.0463845607519033e-07,6.571713583980454e-06,5.214378688833676e-07,0.9999898672103882,2.5052340646425364e-08
2,1.3538003713620128e-06,3.1750726066093198e-06,4.938329190018463e-10,7.790225140524853e-07,9.443735507375097e-06,1.1221927707083523e-06,0.9999850988388062,6.562756027506111e-08
3,2.069160700557404e-06,4.90781258122297e-06,1.317333575556745e-09,1.339167624792026e-06,1.3647154446516652e-05,2.054124252026668e-06,0.9999759197235109,1.3832605816332946e-07
4,3.0715234515810157e-06,7.374052074737847e-06,2.930399034539732e-09,2.168507307942491e-06,1.977349529624917e-05,3.443197101660189e-06,0.9999631643295288,2.581216733688052e-07
5,4.503739546635188e-06,1.091633748728782e-05,5.810196324063099e-09,3.3886196888488485e-06,2.868835326808039e-05,5.480377240019152e-06,0.9999468326568604,4.4645119601227634e-07
6,6.568698154296726e-06,1.6029222024371848e-05,1.0648313342187521e-08,5.175827027414925e-06,4.164934580330737e-05,8.447693289781455e-06,0.999921441078186,7.341330388044298e-07
7,9.558439160173292e-06,2.342981861147564e-05,1.8447337879479164e-08,7.786386959196534e-06,6.048529394320212e-05,1.2758498996845448e-05,0.9998846650123596,1.1657707545964513e-06
8,1.3895277334086131e-05,3.415858373045921e-05,3.066041287524968e-08,1.159264866146259e-05,8.785355021245778e-05,1.901579526020214e-05,0.9998312592506408,1.8060427464661188e-06
9,2.0191300791339017e-05,4.972590249963105e-05,4.9393484857773735e-08,1.7135411326307803e-05,0.000127612875076,2.8097098038415425e-05,0.9997544884681702,2.7488142677611904e-06
10,2.933433097496163e-05,7.232384086819366e-05,7.770064769374585e-08,2.5200059099006467e-05,0.000185364158824,4.127809370402247e-05,0.9996423125267028,4.130364686716348e-06
11,4.2612806282704696e-05,0.0001051348444889,1.2001351024082396e-07,3.692723112180829e-05,0.000269235111773,6.041246160748415e-05,0.9994794130325316,6.148640295577934e-06
12,6.189566920511425e-05,0.0001527765707578,1.8276305979725294e-07,5.397274799179286e-05,0.0003910099330823,8.819218055577949e-05,0.999242901802063,9.091088941204362e-06
13,8.989298657979816e-05,0.0002219464658992,2.7528503210305644e-07,7.87395256338641e-05,0.000567759561818,0.0001285253383684,0.9988991618156432,1.3375105481827632e-05
14,0.0001305304758716,0.0003223506209906,4.111306850518304e-07,0.0001147124785347,0.0008241782779805,0.0001870820124167,0.9984010457992554,1.960656481969636e-05
15,0.0001894887245725,0.0004680394777096,6.099708116380498e-07,0.0001669412886258,0.0011959181865677,0.0002720847260206,0.9976769089698792,2.8664675483014435e-05
16,0.000274969410384,0.0006793185602873,9.003550189845555e-07,0.0002427367580821,0.0017343000508844,0.0003954410203732,0.9966305494308472,4.182429984211922e-05
17,0.0003987844393122,0.0009854593081399,1.3236933682492236e-06,0.0003526579821482,0.0025128831621259,0.0005743794608861,0.9951131939888,6.093257616157644e-05
